INFO 2025-06-03 10:12:15,550 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:12:15,552 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:12:15,557 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:12:45,567 basehttp 13900 4564 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:12:45,570 middleware 13900 516 API: GET /api/language-selector-config/
INFO 2025-06-03 10:12:45,579 basehttp 13900 516 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:13:19,968 basehttp 13900 15172 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:13:19,972 middleware 13900 5980 API: GET /api/language-selector-config/
INFO 2025-06-03 10:13:20,255 basehttp 13900 5980 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:13:45,485 basehttp 13900 15172 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:13:45,488 middleware 13900 5980 API: GET /api/language-selector-config/
INFO 2025-06-03 10:13:45,517 basehttp 13900 5980 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:14:15,500 basehttp 13900 9772 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:14:15,503 middleware 13900 3544 API: GET /api/language-selector-config/
INFO 2025-06-03 10:14:15,508 basehttp 13900 3544 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:14:45,509 basehttp 13900 13152 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:14:45,516 middleware 13900 5924 API: GET /api/language-selector-config/
INFO 2025-06-03 10:14:45,528 basehttp 13900 5924 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:15:15,503 basehttp 13900 12848 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:15:15,509 middleware 13900 11728 API: GET /api/language-selector-config/
INFO 2025-06-03 10:15:15,533 basehttp 13900 11728 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:15:45,489 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:15:45,493 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:15:45,500 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:16:15,488 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:16:15,490 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:16:15,498 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:16:45,494 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:16:45,496 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:16:45,501 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:17:15,500 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:17:15,503 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:17:15,509 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:17:45,500 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:17:45,503 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:17:45,510 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:18:15,498 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:18:15,501 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:18:15,505 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:18:45,488 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:18:45,490 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:18:45,494 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:19:15,493 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:19:15,495 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:19:15,499 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:19:45,553 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:19:45,556 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:19:45,560 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:20:15,538 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:20:15,540 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:20:15,544 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:20:54,547 basehttp 13900 8972 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:20:54,549 middleware 13900 12652 API: GET /api/language-selector-config/
INFO 2025-06-03 10:20:54,553 basehttp 13900 12652 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:21:12,598 autoreload 13900 3528 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:21:14,616 autoreload 9072 10264 Watching for file changes with StatReloader
INFO 2025-06-03 10:21:21,962 autoreload 9072 10264 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:21:23,056 autoreload 15168 13960 Watching for file changes with StatReloader
INFO 2025-06-03 10:21:29,436 autoreload 15168 13960 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:21:30,421 autoreload 13200 7568 Watching for file changes with StatReloader
INFO 2025-06-03 10:21:45,550 basehttp 13200 10416 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:21:45,552 middleware 13200 1460 API: GET /api/language-selector-config/
INFO 2025-06-03 10:21:45,627 basehttp 13200 1460 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:21:48,373 autoreload 13200 7568 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\views.py changed, reloading.
INFO 2025-06-03 10:21:49,242 autoreload 14396 7856 Watching for file changes with StatReloader
INFO 2025-06-03 10:22:15,548 basehttp 14396 2900 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:22:15,551 middleware 14396 2544 API: GET /api/language-selector-config/
INFO 2025-06-03 10:22:15,579 basehttp 14396 2544 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:22:25,499 autoreload 14396 7856 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:22:26,666 autoreload 8004 14148 Watching for file changes with StatReloader
INFO 2025-06-03 10:22:38,922 autoreload 8004 14148 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:22:40,003 autoreload 12388 5356 Watching for file changes with StatReloader
INFO 2025-06-03 10:22:42,942 autoreload 12388 5356 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:22:44,088 autoreload 9584 11720 Watching for file changes with StatReloader
INFO 2025-06-03 10:22:45,553 basehttp 9584 12808 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:22:45,556 middleware 9584 4196 API: GET /api/language-selector-config/
INFO 2025-06-03 10:22:45,588 basehttp 9584 4196 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:23:15,554 basehttp 9584 12808 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:23:15,556 middleware 9584 4196 API: GET /api/language-selector-config/
INFO 2025-06-03 10:23:15,560 basehttp 9584 4196 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:23:29,793 autoreload 9584 11720 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:23:31,115 autoreload 11852 11088 Watching for file changes with StatReloader
INFO 2025-06-03 10:23:45,514 basehttp 11852 4780 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:23:45,516 middleware 11852 9692 API: GET /api/language-selector-config/
INFO 2025-06-03 10:23:45,559 basehttp 11852 9692 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:23:49,683 autoreload 11852 11088 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:23:51,395 autoreload 4592 9680 Watching for file changes with StatReloader
INFO 2025-06-03 10:24:15,503 basehttp 4592 9756 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:24:15,506 middleware 4592 13492 API: GET /api/language-selector-config/
INFO 2025-06-03 10:24:15,554 basehttp 4592 13492 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:24:45,488 basehttp 4592 9756 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:24:45,490 middleware 4592 13492 API: GET /api/language-selector-config/
INFO 2025-06-03 10:24:45,494 basehttp 4592 13492 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:24:50,522 autoreload 4592 9680 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\serializers.py changed, reloading.
INFO 2025-06-03 10:24:51,836 autoreload 7692 9228 Watching for file changes with StatReloader
INFO 2025-06-03 10:25:15,632 basehttp 7692 7372 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:25:15,673 middleware 7692 6572 API: GET /api/language-selector-config/
INFO 2025-06-03 10:25:15,703 basehttp 7692 6572 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:25:41,093 autoreload 7692 9228 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\models.py changed, reloading.
INFO 2025-06-03 10:25:42,594 autoreload 6148 9176 Watching for file changes with StatReloader
INFO 2025-06-03 10:25:44,148 autoreload 6148 9176 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\models.py changed, reloading.
INFO 2025-06-03 10:25:46,158 autoreload 14420 904 Watching for file changes with StatReloader
INFO 2025-06-03 10:25:47,298 basehttp 14420 8448 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:25:47,302 middleware 14420 1528 API: GET /api/language-selector-config/
INFO 2025-06-03 10:25:47,333 basehttp 14420 1528 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:25:51,394 autoreload 14420 904 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\models.py changed, reloading.
INFO 2025-06-03 10:25:52,465 autoreload 3744 8892 Watching for file changes with StatReloader
INFO 2025-06-03 10:26:15,553 basehttp 3744 3644 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:26:15,556 middleware 3744 1448 API: GET /api/language-selector-config/
